Unnamed: 0,target,sa,cv,density,vf,di,df,dif,filename,Original_Rank
14998,543.4969684,2270.49,30934.3,0.425968,0.5581,16.23958,12.10632,15.57186,upc+N282+E158,1755
1885,543.495901,1867.49,45280.2,0.416704,0.6519,15.54417,12.36021,15.45548,cds-f+N206+E181,1756
14672,543.4771813,2084.48,28416.2,0.508684,0.55086,13.66417,10.16329,13.58205,uop+N346+E211,1758
6387,543.4405587,3158.79,8782.23,0.775381,0.3613,8.66733,4.8341,8.66733,msp+N461+E186,1761
16269,543.4396266,2496.6,21296.3,0.767198,0.49992,10.58397,8.32762,10.58397,wgb+N206+E182,1762
8381,543.4298138,2041.18,10146.2,0.582001,0.51958,15.81319,9.96815,15.77208,reo+N412+E11,1763
6691,543.4121037,2434.49,9295.68,0.725972,0.48212,11.97206,6.44717,11.9628,noo+N242+E182,1764
4387,543.4038994,3460.75,8875.74,0.821189,0.29486,6.47317,5.21306,6.41426,hjm+N461+E8,1765
2298,543.3784859,2209.23,23455.0,0.524067,0.46656,13.29953,10.80252,11.50971,deh-d+N344+E1,1766
6588,543.3773612,2080.22,31814.3,0.478938,0.60124,13.8585,9.31442,13.2681,neb+N32+E149,1767
9852,543.343572,1959.82,25145.0,0.447174,0.60984,15.87885,11.05396,15.78295,smu+N691+E187,1770
16230,543.3397682,2634.66,19404.1,0.5752,0.40086,10.8841,6.55268,10.73012,wff+N542+E199,1771
5752,543.3238129,1725.93,14029.2,0.322561,0.67982,14.79747,11.67746,14.15993,lon+N435+E204,1772
8584,543.3187601,2653.0,3262.52,0.70917,0.4943,8.82191,6.91911,8.59083,rob+N37+E38,1773
10605,543.2970894,1753.14,29005.6,0.306637,0.6704,16.02954,14.2463,16.02954,sow+N335+E8,1774
9899,543.290576,2063.71,20980.0,0.574743,0.55922,15.00653,10.77428,15.00653,sne+N290+E112,1775
16804,543.2878131,2460.5,32129.0,0.761024,0.4592,12.98637,8.36407,12.31575,wia+N31+E142,1776
15490,543.2629409,2158.99,22025.2,0.704204,0.46884,12.6872,10.64548,12.4645,vco+N446+E160,1777
14382,543.2604433,1802.88,19398.1,0.386072,0.64176,15.12685,10.5558,14.92843,uoj+N276+E81,1778
14902,543.2545065,2598.51,8857.5,0.611392,0.46562,11.09763,8.7785,11.02,upa+N238+E70,1779
9382,543.2396258,1904.29,17779.5,0.416051,0.60862,15.75448,14.00019,15.72494,smi+N536+E112,1780
16373,543.2284048,1560.98,37724.9,0.38278,0.69294,17.50401,14.68445,17.50401,wgw+N92+E136,1781
3335,543.2176838,2465.85,24037.0,0.608056,0.4901,12.6306,7.93517,11.21266,fna+N300+E52,1783
5364,543.1969851,2405.31,8022.19,0.613796,0.43866,10.31597,7.80709,10.25826,lcy+N622+E130,1784
15175,543.1949615,2459.22,28355.4,0.701444,0.4247,12.02137,7.85727,11.32969,vbe+N671+E25,1785
