filename,target,metal_Zn,metal_Cu,metal_Co,metal_Cd,metal_Mn,metal_Ni,metal_Fe,metal_Ag,metal_In,metal_Nd,metal_Zr,metal_La,metal_Mg,metal_Ca,metal_W,metal_other,metal_organic,node_CN,node_is_fluorinated,node_is_electron_deficient,node_is_electron_rich,node_is_symmetric,node_is_conjugated,node_is_metalated,node_has_hydrogen_bond_donor,node_has_hydrogen_bond_acceptor,node_is_charged,node_is_photoswitchable,node_has_open_metal_site,edge_CN,edge_length,edge_is_fluorinated,edge_is_electron_deficient,edge_is_electron_rich,edge_is_symmetric,edge_is_conjugated,edge_is_metalated,edge_has_hydrogen_bond_donor,edge_has_hydrogen_bond_acceptor,edge_is_charged,edge_is_photoswitchable,edge_has_open_metal_site,topo_node_CN_min,topo_node_CN_max,topo_edge_CN_min,topo_edge_CN_max,sa,cv,density,vf,di,df,dif
zfz+N206+E148,7.63155679089201,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,1,0,0,0,2,9.2703,0,0,0,1,0,0,0,1,0,0,0,5,5,2,2,1131.34,36944.8,0.214514,0.7914,24.90119,21.84098,24.60107
uob+N303+E156,7.627270953445063,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,1,0,0,1,2,5.5933,0,0,0,1,0,0,0,1,0,0,0,4,4,2,2,1272.73,55907.3,0.282845,0.76168,28.54464,28.02468,28.54464
can+N385+E3,7.626814074901951,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,1,0,0,1,2,9.0326,0,0,0,1,1,0,0,1,0,0,0,4,4,2,2,980.923,64358.8,0.197898,0.81924,29.47631,27.90189,29.47631
lvt+N564+E172,7.626420098281248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,2,7.2523,0,0,0,1,0,1,0,1,0,0,1,4,4,2,2,1454.25,18045.9,0.301857,0.7195,18.28979,15.22154,18.28979
xfx+N383+E38,7.626161083735806,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,1,1,0,0,0,2,6.12,0,0,0,1,0,0,0,0,0,0,0,5,5,2,2,1515.65,10359.3,0.303245,0.72516,15.50742,13.77755,15.50271
vma+N300+E223,7.625452345850935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,1,1,0,0,1,2,11.3562,0,0,0,0,1,0,0,1,0,0,0,5,5,2,2,1219.34,58845.9,0.208556,0.7829,20.73975,18.28642,20.16479
unh+N503+E120,7.623974757252145,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,1,0,0,0,2,5.2196,0,0,0,1,1,0,0,1,0,0,0,4,4,2,2,944.161,39707.8,0.162008,0.81886,35.7788,34.33414,35.7788
atn+N256+E201,7.623920818129549,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,1,0,1,0,0,1,2,5.4935,0,0,1,0,1,0,1,1,0,0,0,4,4,2,2,1246.58,52546.1,0.247272,0.77484,27.24058,20.94872,26.8499
lvt+N551+E11,7.622136518022504,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,2,7.018,0,0,0,1,1,0,0,0,0,0,0,4,4,2,2,929.725,59438.5,0.156256,0.8223,23.97426,20.6244,23.97426
umo+N581+E147,7.620481719958171,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,1,0,0,0,2,6.4488,0,0,0,1,1,0,0,0,0,0,0,4,4,2,2,1119.22,55771.1,0.212645,0.79104,32.92515,31.32193,32.92515
dia+N32+E224,7.618852568986369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,1,0,0,1,2,8.3057,0,0,1,1,1,0,0,1,0,0,0,4,4,2,2,1262.04,45532.1,0.221088,0.77338,21.19705,16.08332,21.03035
